slug,name,subtitle,description,date,category,tags,images,mainImageAlt,mainImageWidth,mainImageHeight,layoutVariant,marqueeText,color,textColor,link
cafe-piranga,Café Piranga,O futuro de Ponte Nova começa quando cuidamos do Rio Piranga,"Na Kore, a gente não pulveriza. A gente foca no que aparece. E no dia 05, o que apareceu foi isso: às margens do Rio Piranga, patrimônio cultural de Ponte Nova, plantamos raízes de verdade junto com o Café Piranga.||Foram 1.000 mudas de árvores nativas distribuídas, limpeza do rio e o plantio simbólico de um Ipê Amarelo, árvore símbolo da região. Comunicação com foco no que importa. Ações com impacto no que fica.||<strong>Contexto e Causa:</strong> Ação para o Dia Mundial do Meio Ambiente com foco na preservação do Rio Piranga, um patrimônio da cidade.||<strong>A Ideia:</strong> O rio e a ponte da cidade ""nascem"" de dentro de um grão de café aberto ao meio. Uma imagem que funde a identidade local com o produto, sem forçar o logotipo. Mas a ação foi muito além da peça gráfica.||<strong>A Execução:</strong> Além da campanha gráfica, promovemos uma ação real na Praça Palmeiras com um mutirão de plantio, distribuição de mudas e a revitalização simbólica da região.",2024,DESIGN,"meio ambiente, esg, ação local","/images/projetos/cafe-piranga/main.webp, /images/projetos/cafe-piranga/galeria-1.webp",Foto da ação do Café Piranga,1920,1080,auto,Café Piranga: O futuro começa aqui.,#b72221,#ffffff,/projetos/cafe-piranga
avabrum,AVABRUM,Não vão nos calar,"Não basta aparecer. É preciso pressionar.||Essa é a essência da campanha que a KORE desenvolveu para a AVABRUM — Associação dos Familiares de Vítimas e Atingidos pelo Rompimento da Barragem Mina Córrego do Feijão, em Brumadinho (MG).||Sete anos depois, a pergunta ainda ecoa: foi acidente ou crime?||Enquanto essa resposta ainda não veio, a AVABRUM não ficou esperando. Ela foi até onde as decisões são tomadas: TJMG, ALMG, comunidades atingidas da bacia do Paraopeba.||A KORE construiu uma estratégia de mídia OOH e digital de alto impacto com um propósito claro: colocar a voz da AVABRUM nos lugares certos, na hora certa quando o STJ retomou o processo criminal, quando o assunto voltou à pauta pública, quando o constrangimento institucional se tornou a ferramenta mais poderosa.||<strong>Não vão nos calar. Os danos são irreparáveis. Brumadinho. Tragédia-crime ainda sem resposta.</strong>||<strong>Contexto/causa:</strong> 7 anos após o rompimento da barragem de Brumadinho — AVABRUM (associação dos familiares de vítimas) pressiona por justiça enquanto o processo criminal segue em aberto no STJ||<strong>A ideia:</strong> retrato de um homem coberto de lama/rejeito escorrendo do rosto — a imagem carrega o dano no próprio corpo, sem precisar ilustrar a tragédia. Copy seca e direta: ""Não vão nos calar. Os danos são irreparáveis."" Dados frios embutidos (119 órfãos, 270 hectares destruídos, 5 mil produtores sem renda) reforçam sem apelar.||<strong>Formato/execução:</strong> mídia OOH + digital de alto impacto, com timing estratégico — ativada nos momentos-chave em que o assunto voltava à pauta pública (retomada do processo pelo STJ), mirando TJMG, ALMG e comunidades da bacia do Paraopeba",2024,CULTURA,"brumadinho, justiça, mobilização","/images/projetos/avabrum/main.webp, /images/projetos/avabrum/galeria-1.jpg, /images/projetos/avabrum/galeria-2.jpg, /images/projetos/avabrum/galeria-3.jpg",Campanha AVABRUM,1920,1080,auto,Não vão nos calar. Os danos são irreparáveis.,#000000,#ffffff,/projetos/avabrum
alvorada,Rádio Alvorada,Uma nova Alvorada todo dia,"48 anos da Rádio Alvorada FM em Belo Horizonte. A ideia: transformar o conceito de rádio — de frequência FM pra presença real. O conceito nasce de um fenômeno natural (o nascer do sol) e usa isso como metáfora pra reinvenção diária. Sistema de peças que atravessa praticamente todas as plataformas de consumo.",2024,MÚSICA,"rádio, reposicionamento, ooh","/images/projetos/alvorada/main.webp, /images/projetos/alvorada/galeria-1.jpg, /images/projetos/alvorada/galeria-2.jpg, /images/projetos/alvorada/galeria-3.jpg",Nova campanha Rádio Alvorada,1920,1080,auto,Uma nova Alvorada todo dia.,#f5a623,#ffffff,/projetos/alvorada
sigla,SIGLA Sinalização,Atenção salva vidas,"No trânsito, atenção também salva vidas.||Para marcar o 5 de maio (Dia Mundial do Trânsito), a KORE Comunicação desenvolveu uma campanha para a SIGLA Sinalização com foco no que realmente importa: SEGURANÇA.||<strong>O Impacto:</strong> A campanha utiliza placas de trânsito em escala ampliada como recurso visual para provocar impacto imediato, chamar a atenção dos motoristas e reforçar a importância da sinalização.||<strong>A Estratégia:</strong> Com presença nas mídias digitais e em OOH espalhados pelas principais saídas rodoviárias da Grande BH, a ação amplia a mensagem de conscientização justamente nos pontos de maior fluxo e conexão com as estradas da capital.",2024,DESIGN,"trânsito, ooh, conscientização","/images/projetos/sigla/main.webp, /images/projetos/sigla/galeria-1.webp",Placa de trânsito gigante,1920,1080,auto,Atenção salva vidas.,#ffcc00,#000000,/projetos/sigla
museu-feb,Museu da FEB,Agora é nossa vez de lembrar,"Museus vivem de visitas. Mas sobrevivem daquilo que permanece na memória.||Para o Museu da FEB, o que interessa é fazer uma página heroica do Brasil voltar a ser lembrada. A campanha ocupa os principais corredores de OOH que levam ao centro de Belo Horizonte, convidando a cidade a reencontrar essa história no lugar onde ela deve ser vivida: o próprio museu.||Para a Kore, o foco é transformar lembrança em presença. Visite o Museu da FEB em Belo Horizonte.",2024,CULTURA,"museu, história, ooh","/images/projetos/museu-feb/main.webp, /images/projetos/museu-feb/galeria-1.webp",A cobra vai fumar,1920,1080,auto,Agora é nossa vez de lembrar.,#3b4d36,#ffffff,/projetos/museu-feb
forte-brumadinho,Forte de Brumadinho,A gente revive e mostra,"Intervenção cultural nas ruínas usando técnica de reconstrução aumentada. Um painel transparente com ilustração em line-art completa visualmente a estrutura em ruínas para quem caminha pela trilha, resgatando a memória do local.",2024,ARTE,"intervenção, cultura, patrimônio","/images/projetos/forte-brumadinho/main.webp, /images/projetos/forte-brumadinho/galeria-1.jpg, /images/projetos/forte-brumadinho/galeria-2.jpg",Reconstrução do Forte,1920,1080,auto,Tempo e descaso derrubam. A gente revive e mostra.,#8b5a2b,#ffffff,/projetos/forte-brumadinho
dr-pads,Dr. Pads,Para cães que vivem como reis,"Para cães que vivem como reis.||Essa foi a premissa da ação de Retail Media que desenvolvemos para o Tapete Super Premium Dr. Pads, da linha Absortec, dentro dos Pet Shops.||Uma campanha com conceito visual forte, posicionamento premium e mídia DOOH estrategicamente localizada no PDV certo: onde o tutor já está no mindset de compra e com o produto ao alcance.||Na Kore, a gente foca no que realmente importa: estratégia, contexto e resultado.",2024,DESIGN,"retail media, pets, premium","/images/projetos/dr-pads/main.webp, /images/projetos/dr-pads/galeria-1.webp, /images/projetos/dr-pads/galeria-2.webp, /images/projetos/dr-pads/galeria-3.webp",Cachorro no trono,1920,1080,auto,Para cães que vivem como reis.,#1a1a1a,#ffffff,/projetos/dr-pads
puff-dog,Puff Dog,Tão simples quanto precisa ser,"Lançamento exclusivo Amazon de tapetes higiênicos. Em vez de brigar por especificações, a identidade aposta num mascote descolado de óculos escuros. Foco em growth e retail digital com embalagem marcante e tática de conversão.",2024,TECNOLOGIA,"e-commerce, amazon, branding","/images/projetos/puff-dog/main.webp, /images/projetos/puff-dog/galeria-1.jpg, /images/projetos/puff-dog/galeria-2.jpg",Mascote Puff Dog,1920,1080,auto,Não venderemos tapete.,#ff4500,#ffffff,/projetos/puff-dog
